2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29912-微视研发专场-安卓开发类', 'category': '技术类', 'nums': '10', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29912-微视研发专场-IOS开发类', 'category': '技术类', 'nums': '10', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'TME-全民K歌Web前端工程师-商业FT', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'TEG17-高级AI项目经理（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'TEG17-高级AI产品经理（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '22989-专有云交付平台高级后台研发工程师（深圳/北京）', 'category': '技术类', 'nums': '6', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '22989-专有云交付平台高级运营开发工程师（深圳/北京）', 'category': '技术类', 'nums': '4', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29912-微视研发专场-前端开发类', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29912-微视研发专场-大数据类', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29912-微视研发专场-算法类', 'category': '技术类', 'nums': '3', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '20503-公关与高校合作项目经理', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '25664-政府行业技术生态平台架构师(深圳）', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '25664-腾讯云政务行业生态经理（深圳/北京）', 'category': '产品/项目类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '22989-专有云高级后台研发工程师（深圳）', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:27:00 [tercent.spiders.offer] WARNING: {'intro': 'WXG10-117 企业微信Mac开发工程师 (广州/成都）', 'category': '技术类', 'nums': '1', 'location': '广州', 'date': '2019-03-07'}
2019-03-07 17:27:00 [tercent.spiders.offer] WARNING: {'intro': 'WXG10-113 企业邮箱后台开发工程师（广州）', 'category': '技术类', 'nums': '1', 'location': '广州', 'date': '2019-03-07'}
2019-03-07 17:27:00 [tercent.spiders.offer] WARNING: {'intro': '29777-腾讯云高级行业运营经理', 'category': '产品/项目类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:27:00 [tercent.spiders.offer] WARNING: {'intro': '31504-腾讯云服务产品高级运营开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
